job_url,job_is_new,company,company_rating,location,job_is_remote,salary,job_post_date
https://www.indeed.com/rc/clk?jk=c766bf5b5cb4ebe9&fccid=7c3a1f1f98dde031&vjs=3,new,"

SoFi","
3.2




","San Francisco, CA 94105 (South Beach area)",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=6792d4b9170c97df&fccid=d492310e78d122ff&vjs=3,new,"

Nelnet","
3.5




","Lincoln, NE 68508 (Downtown area)",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=45089036af4c5229&fccid=f7029f63fe5c906e&vjs=3,new,"

Verizon","
3.9




","Piscataway, NJ 08854",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=2389387649fb6a04&fccid=5bcd1ef0a7f4fb99&vjs=3,new,"

CITI","
3.9




","New York, NY",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=547f66e4eba73e2c&fccid=de71a49b535e21cb&vjs=3,new,"

IBM","
3.9




",Delaware,NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=7b6e3e4df7328b5d&fccid=5bcd1ef0a7f4fb99&vjs=3,new,"

CITI","
3.9




","Tampa, FL",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=e222fa5391ca3544&fccid=8765a4045377753a&vjs=3,new,"

Leidos","
3.7




","McLean, VA 22102",NA,NA,2020-07-07
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOW5S2l207R6Jas86v_4Qd3Q3nTqV_bo9xE-69Fb9MW_dmVVx_d9poWER6C7mmAZIHeuYHsYR4vcNSirqrYi0B37z96QS2BkwoAlBt442gozLSjHonv1dKFAw2zQxtoc7bYr7qO_6MMtmoHVilS14UTnR7RH2wtEtws1FnUPJSgHx-uXiAq3_TVdNLuJD2KRuj46rYMNCWoJJL2_I1h-u7JjNi1-uOmbNqZKIf4ArGq99JwN94jlbcH9C7EgO-m8nmxuj4wvDZuJs06YMvPiyFGgsiAVUFNyGHoRASdJx6y4p910b6hp73QfGp3WGfWA8tq0L0fIteg1gw0pwLgqAlWaNZ4U-FhEx4j4H7rqBVxwWMubJULATdEUCJL2IVR5YxGtwv-MpPPqev90Bz9mii5MjS2tqqKnag4bkttSXeSycvNybn72leRj6dS0enwHaZiJsj4VS1XIr4jl4jGPxIIqxbw8d4fXjTcGg_ktlcN99WwaH1fjgovbU4aKvTi8nNQfC05TCfvTJx_VZgNEAXaY00BDcFZfymbUh29hROcfxAguIgfNtthUazCgMJJaHeoviag0ADEZdNzM5YPXrTTUSxcOkswuYamocSkyX6hnx9xfqLlHveaNLcwLy7u6dzRqfCdSsJFchpJnWMR6eDIY1OXXiN55cMcWOcT7iKC7alEdSn_jPsR5BjPvoaMg84UM-cCxXxEYy0cyzUQBR9HhRkuiR1g5rTdJXlwSzbMoiTzsQua46T67KWiZxn6WB9cPErYTxAdsLIwRR4isBEq3FYaPJm9qXJLnNcKS3bQ8zsyTzkFlFOydNqi_BmBQAN1XEixt8AiNB4SjTDVAL6jGvFhTNKsFCk4v0QRYwtriGqz4TlztuG1aO1xd4FMmuYqLzD6Pm2xWowJB0NGq4L9-cOTZ_dxZRJ56SytQI4u0M&p=7&fvj=0&vjs=3,new,"

HP","
4.0




","San Diego, CA 92127",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=472fda1657429943&fccid=f4ee9e15bf5bd57b&vjs=3,new,"

AE Business Solutions","
4.2




","Madison, WI 53718 (High Crossing area)",NA,NA,2020-07-07
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1zplEsFktHkQc7kOOwm4rInMAlFzAoLIRfcwaDPIGgqeIPJX4GuT98gSKYHklrHA6RLTZTWpnVG6rzF35IVG4954VGo40lF9bOn7djj0Bkask-Tk69CPOchcPQbbBNjP4dR4aGJmuXMI-NpzieiDj3aMP1j3BL_hIDVPCxEjhSYmlP_5-Q8fIcTJNqnHbfCIK_8vlW5_3GuCkosskmGlaM_l1QxiseCjUjAGpcVAsKnNWrgTXWq3t8RaEL7edQuZuuVtHjg02W4RU2OZW2URbi9w-X_PjiGSPpz5XMiZaxhDLmC2u1vydXgnDuFR9z0H0W7JtBb7I-UDey0s88k6vvSFjsf25C5e-i6M0KivX_KO3tWmOhFFd18AYZrHfmWBJ1I-h4JLXa3MXW9dgU0Es6kVhsC9t63YGm0pfqM2Zr4yUfaocarwesj5VDHgm-yM_ImJcfeeUOV00Xl25TXGZyTLEaeowOVco3YND1KWnY3hagh2VWJM9xV62tN6ZBO9I_KhghyVa5v-OjwS35Ky1R0ysvVaNljpgGKqOOAipoS9gjUnwI6FdjSrG6lmMNmTPYrRK4iUVTC_RFbNzEtGfK30Eql3CsdVUJHZzh_9PsMpMkJa4GTHHp9Mwm6YvEJQdHv4aUXJQDou3hO1BXPLl_Z8evwz3zPM=&p=9&fvj=0&vjs=3,new,"

Navy Federal Credit Union","
4.0




","Vienna, VA 22180",NA,NA,2020-07-07
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhdO0Ncs0_rZX45kaA1IghdSc64QuX_nVTEEikuxIZEzhyV8eyvLUCBawuXiqpuXY01uFHOT76KBZRrns2HaXaD2dHSgc4QRM3ywBy6XqQQuvu-qeeFVeRqfa98koGkyThQM_vCLW4UP3u5EYm0BwiO5V1Ze1zCNTe2wnDSBFQjjZ8hfh32eQx9JoqIEutiIJ82-LPzWTgP44I3UHAhdWojs3GBX7eBo4c8426v_MlOu4Y2lsxuzLPL2qpzEPn42yg-Xd_QNCHrHXYlyWsy-exFwIxK8Y6rOf4ZPPCMrqKeNr7AjdTxOW3U0lpOUl2WzfmfCWeJqOy5EAab7HmE2GKXpHuvcVoS36H-__xED3luJuewjhm3PAt7nXbWTtYAhC9ZR7Yb1crPk9rOlOf4Iz4AesBov7mF6NkFM2AAZmRJtomgCAWnNlsdwiIFk_Qz75CvKTJlPsb1d2Xw_pwsAfqPoo-P-HtMXk7sDn9Q7BszGEPuc8ZQTBcZ2J35nL79dvY-N-8VQymrJIOrHueq4f_y0Jfg9v3m5KlEVJdQ3cuTw==&p=10&fvj=0&vjs=3,new,"

Pinnacle Partners","
4.0




","Indianapolis, IN 46240 (Keystone at the Crossing area)",NA,"
Up to $160,000 a year",2020-07-07
https://www.indeed.com/rc/clk?jk=ed272cca94482ddc&fccid=d2841a5c0380b93d&vjs=3,new,"

CGI Group, Inc.","
3.6




","Pittsburgh, PA 15201 (Central Lawrenceville area)",NA,NA,2020-07-07
